Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【1852年】正月、諸大名江戸城登城,01/01/2025,,01/01/2025,,True,"【1852-01-01の出来事を追体験】
和暦: 嘉永4年12月10日
人物: 徳川家慶
解説: 年頭拝賀、泰平継続
タグ: 政治

本来の日付: 1852-01-01
追体験日付: 2025-01-01",,False
【1852年】正月二日年賀継続,01/02/2025,,01/02/2025,,True,"【1852-01-02の出来事を追体験】
和暦: 嘉永4年12月11日
人物: 幕閣
解説: 年始儀礼
タグ: 政治

本来の日付: 1852-01-02
追体験日付: 2025-01-02",,False
【1852年】三日とろろ,01/03/2025,,01/03/2025,,True,"【1852-01-03の出来事を追体験】
和暦: 嘉永4年12月12日
人物: 江戸庶民
解説: 正月伝統行事
タグ: 社会

本来の日付: 1852-01-03
追体験日付: 2025-01-03",,False
【1852年】七草粥,01/07/2025,,01/07/2025,,True,"【1852-01-07の出来事を追体験】
和暦: 嘉永4年12月16日
人物: 一般民衆
解説: 無病息災祈願
タグ: 社会

本来の日付: 1852-01-07
追体験日付: 2025-01-07",,False
【1852年】昌平坂学問所新年講義,01/10/2025,,01/10/2025,,True,"【1852-01-10の出来事を追体験】
和暦: 嘉永4年12月19日
人物: 幕府
解説: 儒学教育継続
タグ: 学問

本来の日付: 1852-01-10
追体験日付: 2025-01-10",,False
【1852年】鏡開き,01/11/2025,,01/11/2025,,True,"【1852-01-11の出来事を追体験】
和暦: 嘉永4年12月20日
人物: 全国
解説: 武家・庶民共通行事
タグ: 社会

本来の日付: 1852-01-11
追体験日付: 2025-01-11",,False
【1852年】小正月,01/15/2025,,01/15/2025,,True,"【1852-01-15の出来事を追体験】
和暦: 嘉永4年12月24日
人物: 全国
解説: 望月の祝い
タグ: 社会

本来の日付: 1852-01-15
追体験日付: 2025-01-15",,False
【1852年】寺社参詣,01/16/2025,,01/16/2025,,True,"【1852-01-16の出来事を追体験】
和暦: 嘉永4年12月25日
人物: 庶民
解説: 年始寺社巡り
タグ: 宗教

本来の日付: 1852-01-16
追体験日付: 2025-01-16",,False
【1852年】大寒,01/20/2025,,01/20/2025,,True,"【1852-01-20の出来事を追体験】
和暦: 嘉永4年12月29日
人物: 暦
解説: 一年で最も寒い時期
タグ: 自然

本来の日付: 1852-01-20
追体験日付: 2025-01-20",,False
【1852年】諸藩新年政務開始,01/25/2025,,01/25/2025,,True,"【1852-01-25の出来事を追体験】
和暦: 嘉永5年1月4日
人物: 諸藩
解説: 藩政運営再開
タグ: 政治

本来の日付: 1852-01-25
追体験日付: 2025-01-25",,False
