Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【1854年】正月、将軍家定初年賀,01/01/2027,,01/01/2027,,True,"【1854-01-01の出来事を追体験】
和暦: 嘉永6年12月8日
人物: 徳川家定
解説: 新将軍として初の正月
タグ: 政治

本来の日付: 1854-01-01
追体験日付: 2027-01-01",,False
【1854年】正月二日年賀継続,01/02/2027,,01/02/2027,,True,"【1854-01-02の出来事を追体験】
和暦: 嘉永6年12月9日
人物: 幕閣
解説: 家定時代の年始儀礼
タグ: 政治

本来の日付: 1854-01-02
追体験日付: 2027-01-02",,False
【1854年】プチャーチン交渉継続,01/03/2027,,01/03/2027,,True,"【1854-01-03の出来事を追体験】
和暦: 嘉永6年12月10日
人物: プチャーチン
解説: 長崎での通商交渉
タグ: 外交

本来の日付: 1854-01-03
追体験日付: 2027-01-03",,False
【1854年】川路聖謨対露交渉,01/05/2027,,01/05/2027,,True,"【1854-01-05の出来事を追体験】
和暦: 嘉永6年12月12日
人物: 川路聖謨
解説: 日露外交の本格化
タグ: 外交

本来の日付: 1854-01-05
追体験日付: 2027-01-05",,False
【1854年】七草粥,01/07/2027,,01/07/2027,,True,"【1854-01-07の出来事を追体験】
和暦: 嘉永6年12月14日
人物: 全国
解説: 年中行事継続
タグ: 社会

本来の日付: 1854-01-07
追体験日付: 2027-01-07",,False
【1854年】鏡開き,01/11/2027,,01/11/2027,,True,"【1854-01-11の出来事を追体験】
和暦: 嘉永6年12月18日
人物: 全国
解説: 武家・庶民共通行事
タグ: 社会

本来の日付: 1854-01-11
追体験日付: 2027-01-11",,False
【1854年】外国奉行設置検討,01/12/2027,,01/12/2027,,True,"【1854-01-12の出来事を追体験】
和暦: 嘉永6年12月19日
人物: 幕府
解説: 専門外交機関準備
タグ: 政治

本来の日付: 1854-01-12
追体験日付: 2027-01-12",,False
【1854年】小正月,01/15/2027,,01/15/2027,,True,"【1854-01-15の出来事を追体験】
和暦: 嘉永6年12月22日
人物: 全国
解説: 望月の祝い
タグ: 社会

本来の日付: 1854-01-15
追体験日付: 2027-01-15",,False
【1854年】対米交渉方針決定,01/18/2027,,01/18/2027,,True,"【1854-01-18の出来事を追体験】
和暦: 嘉永6年12月25日
人物: 老中
解説: 開国方針最終確定
タグ: 外交

本来の日付: 1854-01-18
追体験日付: 2027-01-18",,False
【1854年】大寒,01/20/2027,,01/20/2027,,True,"【1854-01-20の出来事を追体験】
和暦: 嘉永6年12月27日
人物: 暦
解説: 一年最寒期
タグ: 自然

本来の日付: 1854-01-20
追体験日付: 2027-01-20",,False
【1854年】洋学者登用,01/22/2027,,01/22/2027,,True,"【1854-01-22の出来事を追体験】
和暦: 嘉永6年12月29日
人物: 幕府
解説: 西洋知識人材活用
タグ: 学問

本来の日付: 1854-01-22
追体験日付: 2027-01-22",,False
【1854年】対米対応策最終検討,01/25/2027,,01/25/2027,,True,"【1854-01-25の出来事を追体験】
和暦: 嘉永7年1月3日
人物: 幕閣
解説: ペリー再来航準備
タグ: 政治

本来の日付: 1854-01-25
追体験日付: 2027-01-25",,False
【1854年】品川台場警備強化,01/28/2027,,01/28/2027,,True,"【1854-01-28の出来事を追体験】
和暦: 嘉永7年1月6日
人物: 幕府
解説: 江戸湾防御完成
タグ: 軍事

本来の日付: 1854-01-28
追体験日付: 2027-01-28",,False
【1854年】月末外交会議,01/31/2027,,01/31/2027,,True,"【1854-01-31の出来事を追体験】
和暦: 嘉永7年1月9日
人物: 阿部正弘
解説: 開国政策最終調整
タグ: 外交

本来の日付: 1854-01-31
追体験日付: 2027-01-31",,False
【1854年】海防最終点検,02/01/2027,,02/01/2027,,True,"【1854-02-01の出来事を追体験】
和暦: 嘉永7年1月10日
人物: 幕府
解説: 品川台場完成確認
タグ: 軍事

本来の日付: 1854-02-01
追体験日付: 2027-02-01",,False
【1854年】立春,02/04/2027,,02/04/2027,,True,"【1854-02-04の出来事を追体験】
和暦: 嘉永7年1月13日
人物: 暦
解説: 春の始まり
タグ: 自然

本来の日付: 1854-02-04
追体験日付: 2027-02-04",,False
【1854年】ペリー歓迎準備,02/05/2027,,02/05/2027,,True,"【1854-02-05の出来事を追体験】
和暦: 嘉永7年1月14日
人物: 幕府
解説: 再来航接遇体制
タグ: 外交

本来の日付: 1854-02-05
追体験日付: 2027-02-05",,False
【1854年】江戸地震,02/08/2027,,02/08/2027,,True,"【1854-02-08の出来事を追体験】
和暦: 嘉永7年1月17日
人物: 自然災害
解説: 開国直前の地震
タグ: 災害

本来の日付: 1854-02-08
追体験日付: 2027-02-08",,False
【1854年】ペリー再来情報確認,02/10/2027,,02/10/2027,,True,"【1854-02-10の出来事を追体験】
和暦: 嘉永7年1月19日
人物: 幕府
解説: 米艦隊接近の報告
タグ: 外交

本来の日付: 1854-02-10
追体験日付: 2027-02-10",,False
【1854年】開国影響への対応,02/12/2027,,02/12/2027,,True,"【1854-02-12の出来事を追体験】
和暦: 嘉永7年1月21日
人物: 町奉行
解説: 社会秩序維持
タグ: 社会

本来の日付: 1854-02-12
追体験日付: 2027-02-12",,False
【1854年】ペリー艦隊浦賀再来航,02/13/2027,,02/13/2027,,True,"【1854-02-13の出来事を追体験】
和暦: 嘉永7年1月22日
人物: ペリー
解説: 9隻大艦隊で威圧再来
タグ: 外交

本来の日付: 1854-02-13
追体験日付: 2027-02-13",,False
